#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-23T23:05:56 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-23T23:05:57	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/132/161/table2&-order=I&-out=Name&-out=HIP&-out=n_HIP&-out=HD/DM&-out=SpType&-out=n_SpType&-out=Teff&-out=log(g)&-out=VTurb&-out=[M/H]&-out.all=2&-out=Note&-out=Fit&-out=SMW&-out=logR&-out=AC&-out=n_AC&-out=Obs&-out=t5&-out=SimbadName&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51320161
#Name: J/AJ/132/161
#Title: NStars project: The southern sample. I. (Gray+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	creator=Gray R.O.	    First author or institution
#INFO	cites=bibcode:2006AJ....132..161G	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/132/161	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51320161	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-11-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_132_161_table2:
#Name: J/AJ/132/161/table2
#Title: Spectral types, basic physical parameters and chromospheric indices
#Column	Name	(A10)	Star name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos catalog designation	[ucd=meta.id]
#Column	n_HIP	(A1)	[*] For HIP 117815, 2 HD designations	[ucd=meta.note]
#Column	HD/DM	(a8)	The HD or DM designation	[ucd=meta.id]
#Column	SpType	(a22)	MK Spectral type	[ucd=src.spType]
#Column	n_SpType	(A1)	[*] Note on the spectral type in notes.dat file	[ucd=meta.note]
#Column	Teff	(I5)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	VTurb	(F4.1)	? Microturbulent velocity	[ucd=phys.veloc]
#Column	[M/H]	(F5.2)	? Overall metal abundance (2)	[ucd=phys.abund.Z]
#Column	Note	(A1)	[*] indicates a note detailed in notes.dat file	[ucd=meta.note]
#Column	Fit	(A1)	[K] Remark on the fitting process (3)	[ucd=meta.note]
#Column	SMW	(F6.3)	? Mt. Wilson system chromospheric activity index	[ucd=phot.flux;arith.ratio]
#Column	logR	(F7.3)	? Ca II K & H line chromospheric flux measure	[ucd=phot.flux;arith.ratio]
#Column	AC	(A2)	Chromospheric activity class (4)	[ucd=src.class]
#Column	n_AC	(A1)	[*] Note on the chromospheric activity in notes.dat file	[ucd=meta.note]
#Column	Obs	(a7)	Spectrum source (5)	[ucd=meta.id;instr.tel]
#Column	t5	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;HIP;n_HIP;HD/DM;SpType;n_SpType;Teff;log(g);VTurb;[M/H];Note;Fit;SMW;logR;AC;n_AC;Obs;t5;SimbadName;_RA;_DE
HIP  59072; 59072; ;105211  ;F2 V                  ; ; 6950; 4.01; 2.2;-0.04; ; ;      ;       ;  ; ;CTIO   ; ;HIP  59072       ;181.72041;-64.61373
HIP  59135; 59135; ;105330  ;F8 V                  ; ; 6250; 4.37; 1.0; 0.01; ; ; 0.199; -4.731;A ; ;CTIO   ; ;HIP  59135       ;181.89707;-31.41056
HIP  59143; 59143; ;105328  ;G0 V                  ; ; 5933; 4.16; 1.0; 0.07; ; ; 0.158; -4.987;I ; ;CTIO   ; ;HIP  59143       ;181.91266;-23.97587
HIP  59199; 59199; ;105452  ;F1 V                  ; ; 7081; 4.23; 2.0;-0.16;*; ;      ;       ;  ; ;SO     ; ;HIP  59199       ;182.10340;-24.72887
HIP  59272; 59272; ;105590  ;G3+ V                 ; ; 5670; 4.35; 1.0;-0.08; ; ; 0.173; -4.928;I ; ;SO     ; ;HIP  59272       ;182.36890;-11.85706
HIP  59296; 59296; ;105671  ;K4 V (k)              ; ;     ;     ;    ;     ; ; ; 0.742; -4.646;A ; ;CTIO   ; ;HIP  59296       ;182.47909;-46.20839
HIP  59315; 59315; ;105690  ;G6 V (k)              ; ; 5520; 4.50; 1.0;-0.13; ; ; 0.412; -4.378;A ; ;CTIO   ; ;HIP  59315       ;182.52696;-49.18074
HIP  59380; 59380; ;105837  ;G0 V Fe-0.9           ; ; 6001; 4.44; 1.0;-0.43; ; ; 0.209; -4.713;A ; ;CTIO   ; ;HIP  59380       ;182.74139;-46.32198
HIP  59426; 59426; ;105913  ;G6 V                  ; ; 5449; 4.14; 1.0; 0.07; ; ; 0.343; -4.530;A ; ;SO     ; ;HIP  59426       ;182.84545;-16.79084
HIP  59426; 59426; ;105913B ;G7 V                  ; ; 5486; 4.13; 1.0; 0.14; ; ;      ;       ;  ; ;SO     ; ;HIP  59426       ;182.84545;-16.79084
HIP  59616; 59616; ;        ;M1- V (k)             ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  59616       ;183.38714;-25.92351
HIP  59639; 59639; ;106275  ;K2 V                  ; ; 4942; 4.51; 1.0;-0.14; ; ; 0.154; -5.098;I ; ;CTIO   ; ;HIP  59639       ;183.46606;-69.06045
HIP  59707; 59707; ;106453  ;G7 V                  ; ;     ;     ;    ;     ; ; ; 0.268; -4.629;A ; ;SO     ; ;HIP  59707       ;183.67548;-24.77518
HIP  59726; 59726; ;106489  ;G2 V                  ; ; 5750; 4.52; 1.0;-0.05; ; ; 0.252; -4.631;A ; ;CTIO   ; ;HIP  59726       ;183.73917;-41.13942
HIP  59750; 59750; ;106516  ;F9 V Fe-1.7 CH-0.7    ; ; 6288; 4.41; 1.0;-0.53; ; ; 0.381; -4.265;A ;*;CTIO/SO; ;HIP  59750       ;183.79399;-10.31240
HIP  59780; 59780; ;106549  ;K7 V (k)              ; ;     ;     ;    ;     ; ; ; 1.617; -4.691;A ; ;CTIO   ; ;HIP  59780       ;183.86273;-31.09402
HIP  59925; 59925; ;        ;K5- V k               ; ;     ;     ;    ;     ; ; ; 1.206; -4.466;A ; ;SO     ; ;HIP  59925       ;184.38355;-24.01860
HIP  60207; 60207; ;107388  ;K3 V (k)              ; ;     ;     ;    ;     ; ; ; 1.516; -4.607;A ; ;SO     ; ;HIP  60207       ;185.19512;-19.89606
HIP  60310; 60310; ;107576  ;K3.5 V                ; ;     ;     ;    ;     ; ; ; 0.381; -4.817;I ; ;CTIO   ; ;HIP  60310       ;185.49936;-41.05924
HIP  60370; 60370; ;107692  ;G1.5 V                ; ; 5804; 4.39; 1.0; 0.08; ; ; 0.207; -4.765;I ; ;CTIO   ;S;HIP  60370       ;185.68670;-39.17768
HIP  60553; 60553; ;        ;K3 V k                ; ;     ;     ;    ;     ; ; ; 2.323; -3.953;VA;*;CTIO   ; ;HIP  60553       ;186.19730;-75.05251
HIP  60644; 60644; ;108147  ;F8 V CH+0.4           ; ; 6248; 4.35; 1.0; 0.12; ; ; 0.171; -4.866;I ; ;CTIO   ; ;HIP  60644       ;186.44278;-64.02209
HIP  60729; 60729; ;108309  ;G2 V                  ; ; 5750; 4.21; 1.0; 0.09; ; ; 0.147; -5.087;I ; ;CTIO   ;S;HIP  60729       ;186.70059;-48.91319
HIP  60808; 60808; ;108446  ;K2 V                  ; ; 5043; 4.48; 1.0;-0.11; ; ; 0.265; -4.763;I ; ;CTIO   ; ;HIP  60808       ;186.95199;-50.33660
HIP  60853; 60853; ;108564  ;K5 V metal weak       ;*;     ;     ;    ;     ; ; ; 0.186; -5.039;I ; ;SO     ; ;HIP  60853       ;187.07967;-16.91105
HIP  60866; 60866; ;108581  ;K5 V (k)              ; ;     ;     ;    ;     ; ; ; 0.832; -4.727;A ; ;SO     ; ;HIP  60866       ;187.13164;-18.29729
HIP  60930; 60930; ;108682  ;K0 V                  ; ; 5252; 4.66; 1.0;-0.36; ; ; 0.166; -5.003;I ; ;CTIO   ; ;HIP  60930       ;187.32960;-30.84065
HIP  60965; 60965; ;108767  ;A0 IV(n) kB9          ; ;10207; 3.97; 2.0;-0.07;*; ;      ;       ;  ; ;SO     ; ;HIP  60965       ;187.46606;-16.51543
HIP  60994; 60994; ;108799  ;F9- V                 ; ; 5991; 4.40; 1.0;-0.05; ; ; 0.307; -4.460;A ; ;SO     ; ;HIP  60994       ;187.51989;-13.39318
HIP  61097; 61097; ;108935  ;K4 V                  ; ;     ;     ;    ;     ; ; ; 0.384; -4.920;I ; ;CTIO   ; ;HIP  61097       ;187.82381;-43.38447
HIP  61174; 61174; ;109085  ;F2 V                  ; ; 6784; 4.06; 2.0;-0.07;*; ;      ;       ;  ; ;SO     ; ;HIP  61174       ;188.01761;-16.19600
HIP  61212; 61212; ;109141  ;F2 V(n)               ; ; 6819; 3.68; 2.0;-0.19; ; ;      ;       ;  ; ;SO     ; ;HIP  61212       ;188.14999;-13.85911
HIP  61291; 61291; ;109200  ;K1 V                  ; ; 5051; 4.55; 1.0;-0.30; ; ; 0.145; -5.124;VI; ;CTIO   ; ;HIP  61291       ;188.38076;-68.75581
HIP  61313; 61313; ;109252  ;K2.5 V (k)            ; ; 4840; 4.62; 1.0;-0.29; ; ; 0.297; -4.777;I ; ;CTIO   ; ;HIP  61313       ;188.41783;-54.92358
HIP  61329; 61329; ;109333  ;K4.5 V                ; ;     ;     ;    ;     ; ; ; 0.611; -4.667;A ; ;SO     ; ;HIP  61329       ;188.49893;-14.63866
HIP  61363; 61363; ;109368  ;K4.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.757; -4.605;A ; ;CTIO   ; ;HIP  61363       ;188.60831;-46.50648
HIP  61379; 61379; ;109409  ;G3 IV                 ; ; 5752; 3.99; 1.0; 0.18; ; ; 0.145; -5.111;VI; ;CTIO   ; ;HIP  61379       ;188.67664;-44.67302
HIP  61391; 61391; ;109423  ;K2 V                  ; ;     ;     ;    ;     ; ; ; 0.351; -4.649;A ; ;CTIO   ; ;HIP  61391       ;188.70296;-41.23460
HIP  61406; 61406; ;        ;K4- V                 ; ;     ;     ;    ;     ; ; ; 0.244; -5.049;I ; ;CTIO   ; ;HIP  61406       ;188.72444;-47.28873
HIP  61451; 61451; ;109524  ;K3.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.537; -4.603;A ; ;CTIO   ; ;HIP  61451       ;188.88980;-34.88192
HIP  61468; 61468; ;109536  ;A7 V                  ; ; 7646; 3.98; 2.0; 0.05; ; ;      ;       ;  ; ;CTIO   ; ;HIP  61468       ;188.93972;-41.02195
HIP  61476; 61476; ;109570  ;G6.5 V                ; ; 5576; 4.49; 1.0;-0.11; ; ; 0.179; -4.909;I ; ;CTIO/SO; ;HIP  61476       ;188.95476;-20.46587
HIP  61621; 61621; ;109799  ;F1 V                  ; ; 6947; 3.95; 2.2;-0.09; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  61621       ;189.42616;-27.13888
HIP  61792; 61792; ;109952  ;K5.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.691; -4.693;A ; ;CTIO   ; ;HIP  61792       ;189.96290;-77.84325
HIP  61872; 61872; ;        ;K6.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.954; -4.797;I ; ;CTIO   ; ;HIP  61872       ;190.19062;-33.37143
HIP  61932; 61932; ;110304  ;A1 IV+                ; ; 9082; 3.52; 2.0;-0.29; ; ;      ;       ;  ; ;CTIO   ; ;HIP  61932       ;190.37933;-48.95987
HIP  61998; 61998; ;110420  ;G8.5 V                ; ; 5403; 4.52; 1.0;-0.19; ; ; 0.194; -4.852;I ; ;CTIO   ; ;HIP  61998       ;190.58241;-39.93630
HIP  62107; 62107; ;110619  ;G5 V                  ; ; 5635; 4.59; 1.0;-0.44; ; ; 0.188; -4.856;I ; ;SO     ; ;HIP  62107       ;190.92802;-37.70814
HIP  62229; 62229; ;110810  ;K2+ V (k)             ; ;     ;     ;    ;     ; ; ; 0.599; -4.441;A ; ;CTIO   ; ;HIP  62229       ;191.31005;-57.35800
HIP  62268; 62268; ;110829  ;K2- III               ; ;     ;     ;    ;     ; ; ; 0.158;       ;  ; ;CTIO   ; ;HIP  62268       ;191.40854;-60.98132
HIP  62333; 62333; ;110971  ;K4 V k                ; ;     ;     ;    ;     ; ; ; 2.034; -4.140;VA;*;CTIO   ; ;HIP  62333       ;191.60844;-57.95045
HIP  62345; 62345; ;111031  ;G5 V                  ; ; 5627; 4.26; 1.0; 0.06; ; ; 0.156; -5.031;I ; ;SO     ;S;HIP  62345       ;191.62851;-11.81244
HIP  62387; 62387; ;        ;K1 III-IV             ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  62387       ;191.78999;-49.47230
HIP  62403; 62403; ;111038  ;K1 V k                ; ; 5177; 4.48; 1.0;-0.18;*; ; 0.908; -4.072;VA;*;CTIO   ; ;HIP  62403       ;191.82916;-66.23745
HIP  62471; 62471; ;        ;K7 V (k)              ; ;     ;     ;    ;     ; ; ; 1.317; -4.781;I ; ;SO     ; ;HIP  62471       ;192.04167;-24.80452
HIP  62472; 62472; ;111261  ;K5- V (k)             ; ;     ;     ;    ;     ; ; ; 0.666; -4.710;A ; ;SO     ; ;HIP  62472       ;192.04461;-24.80660
HIP  62505; 62505; ;111312  ;K2.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.466; -4.571;A ; ;SO     ; ;HIP  62505       ;192.13462;-15.71947
HIP  62534; 62534; ;111232  ;G8 V Fe-1.0           ; ; 5502; 4.46; 1.0;-0.39; ; ; 0.150; -5.075;I ; ;CTIO   ; ;HIP  62534       ;192.21564;-68.42515
HIP  62647; 62647; ;-16 3543;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 0.835; -4.790;I ; ;SO     ; ;HIP  62647       ;192.55104;-17.38194
HIP  63033; 63033; ;112164  ;F9 Vp                 ;*; 6001; 3.87; 1.0; 0.22;*; ; 0.135; -5.189;VI;*;CTIO   ; ;HIP  63033       ;193.74392;-44.15192
HIP  63157; 63157; ;        ;K5.5 V k              ; ;     ;     ;    ;     ; ; ; 1.522; -4.480;A ; ;SO     ; ;HIP  63157       ;194.12532;-24.92548
HIP  63257; 63257; ;112575  ;K4.5 V                ; ;     ;     ;    ;     ; ; ; 0.509; -4.780;I ; ;SO     ; ;HIP  63257       ;194.43316;-14.46342
HIP  63353; 63353; ;112646  ;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 0.776; -4.757;I ; ;CTIO   ; ;HIP  63353       ;194.72881;-55.67314
HIP  63366; 63366; ;112758  ;G9 V                  ; ; 5174; 4.60; 1.0;-0.44; ; ; 0.154; -5.067;I ; ;SO     ; ;HIP  63366       ;194.75651;-09.83407
HIP  63467; 63467; ;112943  ;K5.5 V                ; ;     ;     ;    ;     ; ; ; 0.556; -4.854;I ; ;SO     ; ;HIP  63467       ;195.07081;-02.70479
HIP  63512; 63512; ;        ;K8 V k                ; ;     ;     ;    ;     ; ; ; 1.954;       ;  ; ;CTIO   ; ;HIP  63512       ;195.20814;-35.37164
HIP  63550; 63550; ;        ;M1 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  63550       ;195.33186;-63.19505
HIP  63613; 63613; ;112985  ;K2 III                ; ;     ;     ;    ;     ; ; ; 0.183;       ;  ; ;CTIO   ; ;HIP  63613       ;195.56777;-71.54885
HIP  63618; 63618; ;113194  ;K5 V (k)              ; ;     ;     ;    ;     ; ; ; 0.820; -4.733;A ; ;CTIO/SO; ;HIP  63618       ;195.58620;-26.78712
HIP  63738; 63738; ;113415  ;F8.5 V                ; ; 6132; 4.10; 1.0; 0.12; ; ; 0.152; -4.993;I ; ;SO     ; ;HIP  63738       ;195.94215;-20.58350
HIP  63809; 63809; ;        ;M1- V                 ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  63809       ;196.18255;-62.25737
HIP  63833; 63833; ;113538  ;K9 V (k)              ; ;     ;     ;    ;     ; ; ; 1.490; -4.697;A ; ;CTIO   ; ;HIP  63833       ;196.23949;-52.44292
HIP  63973; 63973; ;113767  ;K0.5 V (k)            ; ; 5230; 4.53; 1.0;-0.03; ; ; 0.312; -4.619;A ; ;CTIO   ; ;HIP  63973       ;196.64545;-49.68607
HIP  64109; 64109; ;112540  ;G7 V                  ; ; 5502; 4.48; 1.0;-0.03; ; ; 0.168; -4.975;I ; ;CTIO   ; ;HIP  64109       ;197.08594;-87.21931
HIP  64219; 64219; ;114260  ;G8 V                  ; ; 5418; 4.45; 1.0;-0.22; ; ; 0.168; -4.973;I ; ;SO     ; ;HIP  64219       ;197.42730;-22.19255
HIP  64295; 64295; ;114386  ;K3 V                  ; ;     ;     ;    ;     ; ; ; 0.210; -4.996;I ; ;CTIO   ; ;HIP  64295       ;197.66593;-35.05478
HIP  64303; 64303; ;114432  ;G8- V (k)             ; ; 5301; 4.30; 1.0; 0.04; ; ; 0.290; -4.618;A ; ;CTIO/SO; ;HIP  64303       ;197.69420;-24.17924
HIP  64407; 64407; ;114642  ;F5.5 V                ; ; 6394; 3.89; 2.0;-0.16; ; ; 0.241; -4.544;A ; ;CTIO/SO; ;HIP  64407       ;198.01477;-16.19860
HIP  64408; 64408; ;114613  ;G4 IV                 ; ; 5574; 3.90; 1.0; 0.06; ; ; 0.144; -5.118;VI; ;SO     ; ;HIP  64408       ;198.01327;-37.80302
HIP  64428; 64428; ;        ;K3.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.393; -4.760;I ; ;CTIO/SO; ;HIP  64428       ;198.08713;-23.33512
HIP  64441; 64441; ;        ;K3.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.448; -4.714;A ; ;CTIO   ; ;HIP  64441       ;198.12213;-60.19418
HIP  64459; 64459; ;114729  ;G0 V                  ; ; 5860; 4.21; 1.0;-0.30; ; ; 0.143; -5.094;I ; ;CTIO   ; ;HIP  64459       ;198.18440;-31.87335
HIP  64475; 64475; ;114747  ;K2 III-IV             ; ; 4989; 4.42; 1.0; 0.31; ; ;      ;       ;  ; ;CTIO   ; ;HIP  64475       ;198.22626;-30.71176
HIP  64478; 64478; ;114630  ;G0 Vp k               ;*; 5962; 3.97; 1.0;-0.16; ; ; 0.354; -4.375;A ;*;CTIO   ; ;HIP  64478       ;198.23205;-59.81660
HIP  64550; 64550; ;114853  ;G1.5 V                ; ; 5749; 4.50; 1.0;-0.25; ; ; 0.170; -4.936;I ; ;CTIO   ; ;HIP  64550       ;198.46761;-45.18580
HIP  64577; 64577; ;114946  ;G9 IV                 ; ; 5089; 3.08; 1.0;-0.26; ; ; 0.125;       ;  ; ;SO     ; ;HIP  64577       ;198.54540;-19.93095
HIP  64583; 64583; ;114837  ;F6 V Fe-0.4           ; ; 6390; 4.13; 2.0;-0.22; ; ; 0.190; -4.741;A ; ;CTIO   ; ;HIP  64583       ;198.56311;-59.10324
HIP  64638; 64638; ;115080  ;G1.5 V                ; ; 5606; 4.20; 1.0;-0.17; ; ; 0.147; -5.092;I ; ;CTIO/SO; ;HIP  64638       ;198.73218;-11.36942
HIP  64690; 64690; ;113283  ;G5 V                  ; ; 5679; 4.49; 1.0; 0.05; ; ; 0.234; -4.720;A ; ;CTIO   ; ;HIP  64690       ;198.86015;-87.56068
HIP  64725; 64725; ;115202  ;K1 III                ; ; 4750; 2.80; 1.0;-0.06; ;K; 0.128;       ;  ; ;CTIO/SO; ;HIP  64725       ;198.99488;-19.94310
HIP  64763; 64763; ;        ;K8 V (k)              ; ;     ;     ;    ;     ; ; ; 1.540; -4.742;A ; ;CTIO   ; ;HIP  64763       ;199.09121;-33.79595
HIP  64790; 64790; ;115149  ;F4 V                  ; ; 6626; 4.14; 2.4;-0.11; ; ;      ;       ;  ; ;CTIO   ; ;HIP  64790       ;199.18713;-65.13825
HIP  64924; 64924; ;115617  ;G7 V                  ; ; 5503; 4.44; 1.0;-0.11; ; ; 0.161; -5.011;I ; ;SO     ; ;HIP  64924       ;199.60131;-18.31120
HIP  65083; 65083; ;        ;M1.5 V (k)            ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP  65083       ;200.10392;-01.65751
HIP  65109; 65109; ;115892  ;kA1.5hA3mA3 Va        ; ;10207; 4.06; 2.0; 0.32; ; ;      ;       ;  ; ;SO     ; ;HIP  65109       ;200.14924;-36.71229
HIP  65266; 65266; ;116219  ;F9- V                 ; ;     ;     ;    ;     ; ; ; 0.162;       ;  ; ;SO     ; ;HIP  65266       ;200.63469;-22.95280
HIP  65269; 65269; ;116220  ;F8.5 V                ; ;     ;     ;    ;     ; ; ; 0.157; -5.022;I ; ;CTIO/SO; ;HIP  65269       ;200.64197;-22.95191
HIP  65302; 65302; ;115674  ;G5 V Fe-0.7           ; ; 5590; 4.52; 1.0;-0.27; ; ; 0.173; -4.929;I ; ;CTIO   ; ;HIP  65302       ;200.75030;-81.31011
HIP  65362; 65362; ;        ;M1 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  65362       ;200.93419;-14.04602
HIP  65479; 65479; ;116457  ;F4 V                  ; ; 6632; 3.97; 2.3;-0.13; ; ;      ;       ;  ; ;CTIO   ; ;HIP  65479       ;201.30803;-64.48515
HIP  65574; 65574; ;116858  ;K2.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.264; -4.815;I ; ;CTIO/SO; ;HIP  65574       ;201.66482;-24.29337
HIP  65602; 65602; ;116920  ;K2+ V                 ; ;     ;     ;    ;     ; ; ; 0.207; -4.936;I ; ;CTIO/SO; ;HIP  65602       ;201.76210;-24.29044
HIP  65636; 65636; ;116963  ;K4 V k                ; ;     ;     ;    ;     ; ; ; 0.745; -4.564;A ; ;CTIO/SO; ;HIP  65636       ;201.85387;-21.65532
HIP  65669; 65669; ;        ;M1.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  65669       ;201.97485;-26.95041
HIP  65737; 65737; ;117105  ;F9.5 V                ; ; 5968; 4.41; 1.0;-0.20; ; ; 0.167; -4.915;I ; ;CTIO/SO; ;HIP  65737       ;202.12730;-27.39185
HIP  65808; 65808; ;117207  ;G7 IV-V               ; ; 5533; 4.30; 1.0; 0.09; ; ; 0.151; -5.070;I ; ;CTIO   ; ;HIP  65808       ;202.33797;-35.57100
HIP  65906; 65906; ;117383  ;K5.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.120; -4.711;A ; ;CTIO   ; ;HIP  65906       ;202.65156;-42.63090
HIP  65924; 65924; ;        ;K8 V                  ; ;     ;     ;    ;     ; ; ; 1.154; -4.792;I ; ;CTIO   ; ;HIP  65924       ;202.71910;-32.63017
HIP  66047; 66047; ;117618  ;G0 V                  ; ; 6001; 4.31; 1.0; 0.05; ; ; 0.168; -4.922;I ; ;CTIO   ;S;HIP  66047       ;203.10648;-47.27136
HIP  66121; 66121; ;117360  ;F8 V Fe-0.9           ; ; 6397; 4.27; 1.0;-0.18; ; ; 0.203; -4.669;A ; ;CTIO   ; ;HIP  66121       ;203.30691;-77.56939
HIP  66125; 66125; ;        ;K2.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.341; -4.674;A ; ;CTIO   ; ;HIP  66125       ;203.32780;-77.57356
HIP  66139; 66139; ;117807  ;F5.5 V                ; ; 6475; 4.24; 2.0;-0.07; ; ; 0.201; -4.685;A ; ;CTIO   ; ;HIP  66139       ;203.37255;-43.42277
HIP  66182; 66182; ;        ;F5 V                  ;*;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  66182       ;203.46585;-53.43179
HIP  66219; 66219; ;117938  ;K3.5 V (k)            ; ;     ;     ;    ;     ; ; ; 0.537; -4.603;A ; ;CTIO   ; ;HIP  66219       ;203.57895;-36.52371
HIP  66229; 66229; ;117987  ;K3 V                  ; ; 4699; 4.52; 1.0;-0.26; ; ; 0.184; -5.062;I ; ;CTIO   ; ;HIP  66229       ;203.60365;-27.50663
HIP  66238; 66238; ;117939  ;G4 V                  ; ; 5726; 4.43; 1.0;-0.15; ; ; 0.178; -4.903;I ; ;SO     ; ;HIP  66238       ;203.63604;-38.90721
HIP  66438; 66438; ;118261  ;F6 V                  ; ; 6306; 4.04; 1.1;-0.05; ; ; 0.221; -4.623;A ; ;CTIO   ; ;HIP  66438       ;204.30159;-61.69186
HIP  66486; 66486; ;118465  ;G1.5 V                ; ; 5588; 4.34; 1.0;-0.07; ; ; 0.293; -4.559;A ; ;SO     ; ;HIP  66486       ;204.45046;-35.06484
HIP  66618; 66618; ;118475  ;F9 V Fe+0.3           ; ; 5942; 4.32; 1.0; 0.12; ; ; 0.160; -4.983;I ; ;CTIO   ; ;HIP  66618       ;204.83448;-67.67090
HIP  66678; 66678; ;        ;K6.5 V                ; ;     ;     ;    ;     ; ; ; 0.823; -4.924;I ; ;CTIO   ; ;HIP  66678       ;205.03508;-66.33931
HIP  66765; 66765; ;118972  ;K0 V (k)              ; ; 5042; 4.50; 1.0;-0.20; ; ; 0.477; -4.439;A ; ;SO     ; ;HIP  66765       ;205.26738;-34.46416
HIP  66918; 66918; ;-20 3868;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 0.738; -4.812;I ; ;CTIO/SO; ;HIP  66918       ;205.71058;-21.71146
HIP  66987; 66987; ;119503  ;K3- V (k)             ; ;     ;     ;    ;     ; ; ; 0.571; -4.518;A ; ;SO     ; ;HIP  66987       ;205.92423;-09.47559
HIP  66993; 66993; ;        ;M0 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO   ; ;HIP  66993       ;205.94488;-35.40439
HIP  67069; 67069; ;119638  ;F8.5 V                ; ; 6081; 4.39; 1.0;-0.11; ; ; 0.173; -4.856;I ; ;SO     ; ;HIP  67069       ;206.18584;-14.22518
HIP  67153; 67153; ;119756  ;F2 V                  ; ; 6781; 3.98; 2.0;-0.09; ; ;      ;       ;  ; ;SO     ; ;HIP  67153       ;206.42185;-33.04372
HIP  67166; 67166; ;        ;M0 V (k)              ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;CTIO/SO; ;HIP  67166       ;206.46226;-12.16393
HIP  67237; 67237; ;119782  ;K1.5 V (k)            ; ; 5036; 4.46; 1.0;-0.13; ; ; 0.239; -4.814;I ; ;CTIO   ; ;HIP  67237       ;206.67511;-56.85010
HIP  67308; 67308; ;120036B ;K7- V                 ; ;     ;     ;    ;     ; ; ; 1.714; -4.636;A ; ;CTIO   ; ;HIP  67308       ;206.92568;-32.43004
HIP  67308; 67308; ;120036  ;K6.5 V (k)            ; ;     ;     ;    ;     ; ; ; 1.698; -4.578;A ; ;CTIO   ; ;HIP  67308       ;206.92568;-32.43004
