#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:44:54 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:44:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/646/A77/catalog&-order=I&-out=Star&-out=Nobs&-out=Nnights&-out=Tspan&-out=snr-med&-out=DateStart&-out=DateEnd&-out=Vmag&-out=e_Vmag&-out=r_Vmag&-out.all=2&-out=B-V&-out=e_B-V&-out=r_B-V&-out=plx&-out=e_plx&-out=r_plx&-out=d&-out=Nplt&-out=SpType&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out.all=2&-out=[Fe/H]&-out=e_[Fe/H]&-out=r_Teff&-out=Mass&-out=e_Mass&-out=Radius&-out=e_Radius&-out=Age&-out=e_Age&-out=SMWmed&-out=SMWwmean&-out=e_SMW&-out=s_SMW&-out.all=2&-out=logRHKmed&-out=logRHKwmean&-out=e_logRHK&-out=R5med&-out=R5wmean&-out=e_R5&-out=s_R5&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36460077
#Name: J/A+A/646/A77
#Title: Chromospheric activity from AMBRE-HARPS (Gomes da Silva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	creator=Gomes da Silva J.	    First author or institution
#INFO	cites=bibcode:2021A&A...646A..77G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/646/A77	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36460077	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_646_A77_catalog:
#Name: J/A+A/646/A77/catalog
#Title: Catalogue data
#Column	Star	(a23)	Stellar main identification in SIMBAD	[ucd=meta.id;meta.main]
#Column	Nobs	(I5)	Total number of observations	[ucd=meta.number]
#Column	Nnights	(I3)	Total number of nights	[ucd=meta.number]
#Column	Tspan	(I4)	Timespan of observations	[ucd=time.interval]
#Column	snr-med	(I3)	Median signal-to-noise ratio	[ucd=em.wl.central;stat.median]
#Column	DateStart	(A23)	Date of start of observations	[ucd=time.epoch]
#Column	DateEnd	(A23)	Date of end of observations	[ucd=time.epoch]
#Column	Vmag	(F6.3)	? Apparent V-band magnitude (dereddened)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Apparent V-band magnitude uncertainty	[ucd=stat.error;phot.mag]
#Column	r_Vmag	(A19)	Apparent V-band magnitude reference	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	? B-V colour (dereddened)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? B-V colour uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	r_B-V	(A19)	B-V colour reference	[ucd=meta.ref;phot.color;em.opt.B]
#Column	plx	(F7.3)	? Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Parallax uncertainty	[ucd=stat.error;pos.parallax]
#Column	r_plx	(A19)	Parallax reference	[ucd=meta.ref;pos.frame]
#Column	d	(F7.2)	? Geometric distance	[ucd=pos.distance]
#Column	Nplt	(I1)	? Number of planets in system (as of 2019-12-12)	[ucd=meta.number]
#Column	SpType	(A2)	Spectral type	[ucd=src.spType]
#Column	Teff	(I4)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	? Effective temperature uncertainty	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	? Logarithm of surface gravity uncertainty	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Metallicity uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	r_Teff	(a19)	Reference for teff, logg, and feh	[ucd=meta.ref;pos.frame]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	e_Mass	(F6.3)	? Mass uncertainty	[ucd=stat.error;phys.mass]
#Column	Radius	(F6.3)	? Radius	[ucd=phys.angSize;src]
#Column	e_Radius	(F6.3)	? Radius uncertainty	[ucd=stat.error;phys.size.radius]
#Column	Age	(F6.3)	? Age	[ucd=time.age]
#Column	e_Age	(F6.3)	? Age uncertainty	[ucd=stat.error;time.age]
#Column	SMWmed	(F7.4)	Median S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	SMWwmean	(F7.4)	Weighted mean S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	e_SMW	(F7.4)	Uncertainty of S-index in Mt. Wilson scale	[ucd=stat.error]
#Column	s_SMW	(F7.4)	Weighted standard deviation of S-index in Mt. Wilson scale	[ucd=stat.stdev;phys.atmol.wOscStrength]
#Column	logRHKmed	(F7.4)	? Median log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	logRHKwmean	(F7.4)	? Weighted mean log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	? Uncertanty on log R'_HK_ index	[ucd=stat.error]
#Column	R5med	(F6.3)	? Median R_5_ index (R_5_ = R'_HK_ x 10^5)	[ucd=phot.flux;arith.ratio]
#Column	R5wmean	(F6.3)	? Weighted mean R_5_ index	[ucd=phot.flux;arith.ratio]
#Column	e_R5	(F6.3)	? Uncertainty on R_5_ index	[ucd=stat.error]
#Column	s_R5	(F6.3)	? Weighted standard deviation of R_5_ index	[ucd=spect.index]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star;Nobs;Nnights;Tspan;snr-med;DateStart;DateEnd;Vmag;e_Vmag;r_Vmag;B-V;e_B-V;r_B-V;plx;e_plx;r_plx;d;Nplt;SpType;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];r_Teff;Mass;e_Mass;Radius;e_Radius;Age;e_Age;SMWmed;SMWwmean;e_SMW;s_SMW;logRHKmed;logRHKwmean;e_logRHK;R5med;R5wmean;e_R5;s_R5;Simbad;_RA;_DE
HD 74014               ;   26; 25;3070;156;2003-12-18T07:19:24.606;2012-05-13T23:42:17.398; 7.582; 0.010;1997A&A...323L..49P; 0.757; 0.012;2007A&A...474..653V; 28.740; 0.063;2018A&A...616A...1G;  34.79;0;G6;5561; 27.0; 4.27; 0.04; 0.22; 0.02;2008A&A...487..373S; 0.992; 0.016; 1.047; 0.013; 7.229; 1.746; 0.1549; 0.1551; 0.0007; 0.0010;-5.0908;-5.0900; 0.0041; 0.811; 0.813; 0.008; 0.011;Simbad;130.32734;-04.80894
HD 7449                ;  133;116;4452;154;2003-11-02T03:37:15.105;2016-01-10T01:16:30.480; 7.495; 0.010;1997A&A...323L..49P; 0.573; 0.007;2007A&A...474..653V; 25.836; 0.043;2018A&A...616A...1G;  38.71;1;F9;6024; 13.0; 4.27; 0.03;-0.11; 0.01;2008A&A...487..373S; 1.049; 0.011; 1.000; 0.004; 2.329; 0.765; 0.1820; 0.1823; 0.0007; 0.0032;-4.8216;-4.8206; 0.0032; 1.508; 1.512; 0.011; 0.053;Simbad;018.62218;-05.04739
HD 74698               ;  119; 57;5148; 57;2004-02-12T03:51:02.124;2018-03-28T02:56:03.127; 7.760; 0.010;1997A&A...323L..49P; 0.658; 0.010;2007A&A...474..653V; 19.178; 0.028;2018A&A...616A...1G;  52.14;0;G2;5783; 19.0; 4.12; 0.02; 0.07; 0.02;2017A&A...606A..94D; 1.037; 0.014; 1.318; 0.003; 8.074; 1.834; 0.1578; 0.1581; 0.0014; 0.0085;-5.0352;-5.0331; 0.0090; 0.922; 0.927; 0.019; 0.119;Simbad;130.07301;-71.87714
HD 74885               ;    2;  2;   1; 41;2004-12-21T06:41:13.531;2004-12-22T07:19:14.457; 8.207; 0.010;1997A&A...323L..49P; 0.762; 0.002;2007A&A...474..653V; 30.801; 0.034;2018A&A...616A...1G;  32.47;0;G9;5409; 24.0; 4.43; 0.05;-0.03; 0.02;thiswork           ; 0.906; 0.013; 0.796; 0.007; 0.778; 0.830; 0.3290; 0.3309; 0.0028; 0.0131;-4.5703;-4.5671; 0.0050; 2.690; 2.710; 0.031; 0.142;Simbad;131.17597;-48.67154
HD 74957               ;   42; 29;5128; 51;2004-01-28T05:49:02.496;2018-02-11T05:40:41.227; 8.102; 0.010;1997A&A...323L..49P; 0.590; 0.007;2007A&A...474..653V; 20.502; 0.030;2018A&A...616A...1G;  48.78;0;G0;5915; 20.0; 4.34; 0.03;-0.18; 0.01;2017A&A...606A..94D; 0.965; 0.013; 1.001; 0.006; 5.576; 1.041; 0.1647; 0.1655; 0.0013; 0.0044;-4.9328;-4.9276; 0.0081; 1.167; 1.181; 0.022; 0.071;Simbad;131.10021;-57.76911
HD 750                 ;    3;  3;1328; 69;2003-12-11T00:28:09.156;2007-07-31T09:05:38.191; 9.035; 0.010;1997A&A...323L..49P; 0.889; 0.020;2007A&A...474..653V; 26.919; 0.029;2018A&A...616A...1G;  37.15;0;K2;5069; 32.0; 4.46; 0.10;-0.30; 0.02;2017A&A...606A..94D; 0.735; 0.014; 0.723; 0.008; 9.971; 3.809; 0.4227; 0.4032; 0.0021; 0.0284;-4.5567;-4.5802; 0.0024; 2.775; 2.629; 0.015; 0.212;Simbad;002.89914;-57.47255
HD 7515                ;   14; 11;  46; 43;2004-12-21T01:39:51.570;2005-02-05T01:22:33.597; 9.415; 0.010;1997A&A...323L..49P; 0.629; 0.023;2007A&A...474..653V; 12.279; 0.026;2018A&A...616A...1G;  81.44;0;G1;5872; 63.0; 4.19; 0.10; 0.15; 0.05;thiswork           ; 1.061; 0.020; 0.963; 0.017; 0.841; 0.847; 0.3215; 0.3212; 0.0026; 0.0067;-4.4669;-4.4673; 0.0048; 3.413; 3.409; 0.038; 0.099;Simbad;018.59090;-50.25149
HD 75289               ;   21; 18;2965;187;2003-12-28T08:13:09.426;2012-02-09T06:24:16.514; 6.347; 0.010;1997A&A...323L..49P; 0.577; 0.003;2007A&A...474..653V; 34.317; 0.028;2018A&A...616A...1G;  29.14;1;F8;6161; 21.0; 4.07; 0.03; 0.30; 0.01;2008A&A...487..373S; 1.261; 0.010; 1.204; 0.008; 0.582; 0.354; 0.1486; 0.1483; 0.0006; 0.0017;-5.0278;-5.0298; 0.0048; 0.938; 0.934; 0.010; 0.028;Simbad;131.91829;-41.73679
HD 75328               ;   13;  6;5092; 51;2004-02-12T03:55:48.938;2018-01-31T02:17:18.815; 8.056; 0.010;1997A&A...323L..49P; 0.566; 0.015;2007A&A...474..653V; 18.116; 0.029;2018A&A...616A...1G;  55.20;0;F9;6003; 29.0; 4.22; 0.03;-0.23; 0.02;2017A&A...606A..94D; 0.969; 0.016; 1.130; 0.025; 7.027; 1.512; 0.1620; 0.1618; 0.0014; 0.0068;-4.9228;-4.9243; 0.0086; 1.195; 1.191; 0.024; 0.115;Simbad;130.07964;-79.67404
HD 75530               ;   39; 27;1575; 76;2003-12-18T07:45:44.373;2013-03-14T04:07:43.412; 9.166; 0.010;1997A&A...323L..49P; 0.730; 0.004;2007A&A...474..653V; 20.079; 0.042;2018A&A...616A...1G;  49.80;0;G9;5311; 29.0; 4.51; 0.07;-0.54; 0.02;2017A&A...606A..94D; 0.798; 0.008; 0.822; 0.017; 0.026; 0.001; 0.1734; 0.1745; 0.0010; 0.0041;-4.9837;-4.9783; 0.0051; 1.038; 1.051; 0.012; 0.048;Simbad;132.58750;-05.53603
HD 75745               ;   15; 13;2603; 75;2003-11-04T08:36:46.234;2010-12-20T06:25:16.662; 9.410; 0.020;2000A&A...355L..27H; 0.559; 0.036;2000A&A...355L..27H;  7.382; 0.027;2018A&A...616A...1G; 135.46;0;G1;5885; 35.0; 4.10; 0.03;-0.78; 0.03;2017A&A...606A..94D; 0.848; 0.008; 1.577; 0.026;11.520; 0.235; 0.1586; 0.1590; 0.0010; 0.0058;-4.9368;-4.9345; 0.0064; 1.157; 1.163; 0.017; 0.100;Simbad;132.39983;-52.47650
HD 75881               ;   21; 17;5169; 76;2003-12-18T07:50:08.806;2018-02-11T05:45:15.143; 6.829; 0.010;1997A&A...323L..49P; 0.553; 0.008;2007A&A...474..653V; 18.607; 0.041;2018A&A...616A...1G;  53.74;0;F7;6239; 40.0; 4.11; 0.06; 0.07; 0.03;2017A&A...606A..94D; 1.341; 0.031; 1.747; 0.030; 2.881; 0.748; 0.1421; 0.1418; 0.0010; 0.0036;-5.0508;-5.0529; 0.0084; 0.890; 0.885; 0.017; 0.062;Simbad;133.08505;-12.80869
HD 76151               ;    9;  7;3310;268;2003-11-03T08:47:58.520;2012-11-25T08:18:53.801; 6.046; 0.010;1997A&A...323L..49P; 0.674; 0.012;2007A&A...474..653V; 59.347; 0.045;2018A&A...616A...1G;  16.85;0;G2;5788; 23.0; 4.33; 0.02; 0.12; 0.02;2008A&A...487..373S; 1.062; 0.013; 0.955; 0.000; 0.445; 0.397; 0.2274; 0.2302; 0.0007; 0.0071;-4.7352;-4.7266; 0.0022; 1.840; 1.877; 0.009; 0.096;Simbad;133.57478;-05.43446
HD 76188               ;   74; 32; 368;128;2004-01-12T06:21:46.825;2015-02-13T05:02:56.254; 7.150; 0.010;1997A&A...323L..49P; 0.541; 0.016;2007A&A...474..653V; 17.651; 0.033;2018A&A...616A...1G;  56.65;0;F9;5989; 46.0; 3.85; 0.04;-0.44; 0.03;2017A&A...606A..94D; 1.018; 0.013; 1.767; 0.040; 6.994; 0.182; 0.1495; 0.1495; 0.0007; 0.0011;-5.0340;-5.0344; 0.0052; 0.925; 0.924; 0.011; 0.019;Simbad;132.86558;-61.36297
HD 76440               ;    7;  2;1827; 51;2004-01-12T06:24:13.647;2013-01-24T05:06:14.555; 8.410; 0.010;1997A&A...323L..49P; 0.653; 0.002;2007A&A...474..653V; 18.497; 0.031;2018A&A...616A...1G;  54.06;0;G2;5764; 20.0; 4.29; 0.03;-0.01; 0.02;2017A&A...606A..94D; 0.984; 0.015; 1.024; 0.024; 6.123; 1.256; 0.1648; 0.1643; 0.0014; 0.0050;-4.9872;-4.9902; 0.0086; 1.030; 1.023; 0.020; 0.071;Simbad;133.51166;-51.58424
HD 76632               ;    2;  1;   1; 45;2004-12-21T07:28:11.376;2004-12-22T08:06:41.915; 8.661; 0.010;1997A&A...323L..49P; 0.753; 0.027;2007A&A...474..653V; 20.154; 0.055;2018A&A...616A...1G;  49.62;0;G8;5501; 26.0; 4.29; 0.06; 0.11; 0.02;thiswork           ; 0.948; 0.019; 0.938; 0.021; 5.936; 1.927; 0.1579; 0.1579; 0.0167; 0.0000;-5.0729;-5.0729; 0.0948; 0.845; 0.845; 0.185; 0.000;Simbad;134.36872;+04.43152
HD 76653               ;   44; 18;1823;266;2006-02-09T04:25:50.189;2011-02-06T04:46:07.154; 5.700; 0.010;1997A&A...323L..49P; 0.481; 0.006;2007A&A...474..653V; 41.216; 0.087;2018A&A...616A...1G;  24.26;0;F4;6593; 73.0; 4.30; 0.06; 0.17; 0.05;thiswork           ; 1.304; 0.016; 1.254; 0.016; 0.255; 0.193; 0.2536; 0.2544; 0.0006; 0.0037;-4.4794;-4.4774; 0.0014; 3.316; 3.331; 0.011; 0.072;Simbad;133.79909;-54.96577
HD 76849               ;   21; 17;3374; 74;2007-09-22T09:30:35.797;2016-12-17T05:45:14.206; 9.050; 0.010;1997A&A...323L..49P; 0.840; 0.015;2007A&A...474..653V; 20.360; 0.043;2018A&A...616A...1G;  49.12;0;K0;5249; 65.0; 4.41; 0.15; 0.14; 0.04;thiswork           ; 0.893; 0.031; 0.867; 0.022; 6.025; 4.731; 0.1647; 0.1646; 0.0013; 0.0044;-5.0565;-5.0570; 0.0054; 0.878; 0.877; 0.011; 0.038;Simbad;134.59369;-14.37408
HD 76859               ;    1;  1;   1; 42;2004-12-21T08:23:34.813;2004-12-21T08:23:34.813; 9.419; 0.010;1997A&A...323L..49P; 0.469; 0.022;2007A&A...474..653V;  6.316; 0.032;2018A&A...616A...1G; 158.33;0;F6;6394; 85.0; 4.26; 0.11; 0.15; 0.06;thiswork           ; 1.339; 0.028; 1.471; 0.047; 1.716; 0.876; 0.1626; 0.1626; 0.0024; 0.0000;-4.8015;-4.8015; 0.0132; 1.579; 1.579; 0.048; 0.000;Simbad;134.37309;-39.77842
HD 770                 ;    9;  8; 417; 89;2007-09-27T03:04:49.093;2008-11-17T00:34:55.161; 6.505; 0.010;1997A&A...323L..49P; 1.032; 0.001;2007A&A...474..653V;  7.222; 0.039;2018A&A...616A...1G; 138.47;0;K3;4804; 35.0; 2.77; 0.08;-0.12; 0.03;thiswork           ; 1.337; 0.249;10.387; 0.332; 4.013; 2.310; 0.1001; 0.1009; 0.0009; 0.0051;-5.3483;-5.3437; 0.0048; 0.448; 0.453; 0.005; 0.028;Simbad;002.98357;-42.17214
HD 77058               ;   11;  8; 475; 40;2004-01-13T06:18:14.799;2005-05-22T00:32:17.910; 9.342; 0.010;1997A&A...323L..49P; 0.893; 0.024;2007A&A...474..653V; 19.841; 0.062;2018A&A...616A...1G;  50.40;0;K1;5133; 53.0; 4.41; 0.13; 0.16; 0.03;thiswork           ; 0.868; 0.027; 0.830; 0.017; 6.102; 4.673; 0.3103; 0.3106; 0.0030; 0.0104;-4.7168;-4.7164; 0.0051; 1.920; 1.922; 0.022; 0.077;Simbad;134.73712;-34.00650
HD 77110               ;  162; 98;4846; 84;2004-01-11T06:22:04.121;2017-05-06T01:17:31.165; 8.828; 0.010;1997A&A...323L..49P; 0.616; 0.015;2007A&A...474..653V; 16.129; 0.032;2018A&A...616A...1G;  62.00;0;G3;5717; 20.0; 4.36; 0.02;-0.50; 0.02;2017A&A...606A..94D; 0.933; 0.004; 1.000; 0.001; 0.019; 0.001; 0.1696; 0.1702; 0.0009; 0.0034;-4.9289;-4.9256; 0.0050; 1.178; 1.187; 0.014; 0.051;Simbad;134.82443;-35.31031
HD 77278               ;    6;  5;   8;100;2005-05-10T23:14:39.429;2005-05-18T23:12:19.296; 8.048; 0.010;1997A&A...323L..49P; 0.816; 0.013;2007A&A...474..653V; 31.469; 0.047;2018A&A...616A...1G;  31.78;0;G9;5370; 26.0; 4.41; 0.05; 0.16; 0.02;thiswork           ; 0.948; 0.017; 0.851; 0.020; 1.575; 1.474; 0.2216; 0.2210; 0.0010; 0.0032;-4.8487;-4.8504; 0.0030; 1.417; 1.411; 0.010; 0.030;Simbad;135.44815;+06.49774
HD 77338               ;   81; 46;4167; 76;2004-12-19T06:57:29.533;2018-04-17T01:30:38.390; 8.630; 0.010;1997A&A...323L..49P; 0.833; 0.002;2007A&A...474..653V; 21.741; 0.035;2018A&A...616A...1G;  46.00;1;G8;5440; 52.0; 4.34; 0.11; 0.28; 0.04;2013A&A...556A.150S; 0.983; 0.027; 0.917; 0.015; 2.387; 2.352; 0.1640; 0.1638; 0.0011; 0.0091;-5.0581;-5.0587; 0.0047; 0.875; 0.874; 0.009; 0.080;Simbad;135.30206;-25.52706
HD 77462               ;   11; 10; 451;126;2004-01-13T06:37:16.863;2005-04-28T23:57:36.894; 7.250; 0.010;1997A&A...323L..49P; 0.498; 0.010;2007A&A...474..653V; 17.523; 0.240;2018A&A...616A...1G;  57.07;0;F6;6308; 68.0; 4.02; 0.07;-0.03; 0.05;thiswork           ; 1.245; 0.035; 1.504; 0.047; 3.063; 0.824; 0.1564; 0.1566; 0.0009; 0.0021;-4.8747;-4.8734; 0.0053; 1.334; 1.339; 0.016; 0.040;Simbad;135.45411;-26.56353
HD 78050               ;    1;  1;   1;176;2009-05-13T23:04:40.818;2009-05-13T23:04:40.818; 7.585; 0.010;1997A&A...323L..49P; 0.762; 0.014;2007A&A...474..653V;  2.766; 0.053;2018A&A...616A...1G; 361.53;0;  ;    ;     ;     ;     ;     ;     ;                   ;      ;      ;      ;      ;      ;      ; 0.1273; 0.1273; 0.0006; 0.0000;       ;       ;       ;      ;      ;      ;      ;Simbad;136.67886;+20.50986
HD 78130               ;    6;  5;1483; 76;2008-04-24T03:12:42.684;2012-05-17T01:01:19.942; 8.647; 0.010;1997A&A...323L..49P; 0.669; 0.014;2007A&A...474..653V; 17.411; 0.047;2018A&A...616A...1G;  57.43;0;G2;5797; 24.0; 4.25; 0.05; 0.20; 0.02;thiswork           ; 1.088; 0.012; 0.968; 0.020; 0.410; 0.325; 0.2956; 0.2936; 0.0013; 0.0125;-4.5555;-4.5597; 0.0028; 2.783; 2.756; 0.018; 0.170;Simbad;136.48972;-21.53259
HD 78286               ;   46; 34;3375; 84;2007-09-22T09:48:10.301;2016-12-27T06:59:14.722; 8.577; 0.010;1997A&A...323L..49P; 0.677; 0.012;2007A&A...474..653V; 13.699; 0.042;2018A&A...616A...1G;  73.00;0;G2;5811; 59.0; 4.13; 0.09; 0.24; 0.04;thiswork           ; 1.112; 0.028; 1.247; 0.034; 5.099; 1.566; 0.1542; 0.1541; 0.0009; 0.0040;-5.0708;-5.0716; 0.0065; 0.850; 0.848; 0.013; 0.053;Simbad;136.54164;-37.15273
HD 78429               ;  150;135;4940;186;2003-12-11T07:36:06.232;2017-06-19T22:50:12.366; 7.307; 0.010;1997A&A...323L..49P; 0.663; 0.004;2007A&A...474..653V; 26.144; 0.035;2018A&A...616A...1G;  38.25;0;G2;5760; 19.0; 4.19; 0.02; 0.09; 0.01;2008A&A...487..373S; 1.024; 0.010; 1.202; 0.002; 7.671; 1.662; 0.1723; 0.1724; 0.0007; 0.0051;-4.9524;-4.9518; 0.0037; 1.116; 1.117; 0.009; 0.070;Simbad;136.66180;-43.49198
HD 78534               ;   32; 30;2845; 81;2009-05-13T00:10:26.805;2017-02-25T03:57:24.758; 8.600; 0.010;1997A&A...323L..49P; 0.621; 0.022;2007A&A...474..653V; 15.144; 0.053;2018A&A...616A...1G;  66.03;0;G2;5754; 38.0; 4.05; 0.08; 0.19; 0.03;thiswork           ; 1.058; 0.020; 1.145; 0.021; 5.689; 1.487; 0.1609; 0.1610; 0.0010; 0.0027;-4.9859;-4.9855; 0.0062; 1.033; 1.034; 0.015; 0.041;Simbad;137.29320;+10.82170
HD 78538               ;    9;  9;3090; 94;2003-12-16T07:09:00.813;2012-05-31T23:26:24.612; 8.162; 0.010;1997A&A...323L..49P; 0.659; 0.017;2007A&A...474..653V; 22.965; 0.053;2018A&A...616A...1G;  43.54;0;G2;5786; 13.0; 4.35; 0.03;-0.03; 0.01;2008A&A...487..373S; 1.019; 0.011; 0.912; 0.001; 0.832; 0.605; 0.2728; 0.2780; 0.0011; 0.0171;-4.5980;-4.5857; 0.0027; 2.523; 2.596; 0.016; 0.239;Simbad;137.19569;-05.11609
HD 78558               ;   32; 28;5219;192;2003-12-13T07:58:03.749;2018-05-27T00:23:45.695; 7.298; 0.010;1997A&A...323L..49P; 0.620; 0.009;2007A&A...474..653V; 27.612; 0.038;2018A&A...616A...1G;  36.22;0;G3;5711; 18.0; 4.24; 0.02;-0.44; 0.01;2008A&A...487..373S; 1.056; 0.012; 1.173; 0.027; 0.014; 0.000; 0.1645; 0.1645; 0.0006; 0.0012;-4.9627;-4.9624; 0.0037; 1.090; 1.090; 0.009; 0.018;Simbad;137.10516;-15.14479
HD 78612               ;   32; 28;3073;155;2003-12-16T07:22:09.922;2012-05-14T23:44:05.645; 7.128; 0.010;1997A&A...323L..49P; 0.602; 0.003;2007A&A...474..653V; 24.213; 0.053;2018A&A...616A...1G;  41.30;0;G1;5834; 14.0; 4.10; 0.02;-0.24; 0.01;2008A&A...487..373S; 0.936; 0.012; 1.380; 0.000;10.315; 2.672; 0.1583; 0.1584; 0.0007; 0.0018;-4.9849;-4.9847; 0.0044; 1.035; 1.036; 0.010; 0.029;Simbad;137.20745;-10.75751
HD 78660               ;   38; 34;4641; 94;2005-05-11T23:31:07.564;2018-01-25T05:50:42.901; 8.318; 0.010;1997A&A...323L..49P; 0.657; 0.013;2007A&A...474..653V; 20.633; 0.052;2018A&A...616A...1G;  48.47;0;G2;5752; 16.0; 4.31; 0.04; 0.05; 0.01;thiswork           ; 1.024; 0.013; 0.955; 0.003; 2.379; 0.943; 0.1729; 0.1744; 0.0009; 0.0064;-4.9446;-4.9368; 0.0049; 1.136; 1.157; 0.013; 0.090;Simbad;137.47441;+14.45676
HD 78747               ;   75; 59;5278;143;2003-12-11T07:44:07.517;2018-05-24T02:40:28.282; 7.715; 0.010;1997A&A...323L..49P; 0.573; 0.018;2007A&A...474..653V; 24.283; 0.038;2018A&A...616A...1G;  41.18;0;G2;5778; 18.0; 4.31; 0.02;-0.67; 0.01;2008A&A...487..373S; 0.973; 0.009; 1.096; 0.002; 0.014; 0.000; 0.1680; 0.1680; 0.0007; 0.0016;-4.8952;-4.8953; 0.0039; 1.273; 1.273; 0.011; 0.028;Simbad;136.98573;-50.48245
HD 78964               ;    9;  6; 371; 42;2004-01-28T05:55:32.751;2011-04-13T02:01:40.671; 9.807; 0.010;1997A&A...323L..49P; 0.851; 0.045;2007A&A...474..653V; 16.580; 0.022;2018A&A...616A...1G;  60.31;0;K1;5195; 78.0; 4.58; 0.13; 0.10; 0.06;2011A&A...533A.141S; 0.862; 0.028; 0.803; 0.017; 3.847; 3.948; 0.6243; 0.5983; 0.0046; 0.0398;-4.3256;-4.3460; 0.0036; 4.725; 4.508; 0.039; 0.334;Simbad;136.99239;-64.03522
HD 7950                ;   15; 13;1837; 91;2008-09-15T06:10:07.507;2013-09-27T01:15:00.895; 8.702; 0.010;1997A&A...323L..49P; 0.790; 0.004;2007A&A...474..653V;  8.250; 0.040;2018A&A...616A...1G; 121.21;0;G4;5672;106.0; 4.23; 0.15; 0.34; 0.08;thiswork           ; 1.351; 0.043; 2.020; 0.077; 3.842; 0.738; 0.1777; 0.1782; 0.0011; 0.0092;-4.9869;-4.9849; 0.0046; 1.031; 1.035; 0.011; 0.092;Simbad;019.65824;-25.89898
HD 79601               ;  109; 82;4022;120;2004-01-27T07:07:35.577;2015-02-01T04:47:31.173; 8.003; 0.010;1997A&A...323L..49P; 0.579; 0.022;2007A&A...474..653V; 18.371; 0.033;2018A&A...616A...1G;  54.43;0;G2;5825; 25.0; 4.15; 0.03;-0.59; 0.02;2017A&A...606A..94D; 1.068; 0.012; 1.240; 0.027; 0.012; 0.001; 0.1632; 0.1634; 0.0008; 0.0015;-4.9305;-4.9291; 0.0047; 1.173; 1.177; 0.013; 0.025;Simbad;138.43595;-42.31041
